Team,City,Full_Name,Abbrv,Color1,Color2,Color3,Logo_Path,Shadow_Logo_Path,Wordmark_Path,Team_Type
World Lacrosse,World Lacrosse,World Lacrosse,WL,#E6444A,#00A475,#116EB1,World Lacrosse.png,World Lacrosse_Shadow.png,World Lacrosse_Wordmark.png,National
Germany,Germany,Germany,GER,#FF0000,#FFB600,#000000,Germany.png,Germany_Shadow.png,Germany_Wordmark.png,National
England,England,England,ENG,#E83630,#0B214A,#C8A94C,England.png,England_Shadow.png,England_Wordmark.png,National
Ireland,Ireland,Ireland,IRL,#18723B,#FBAC1E,#000000,Ireland.png,Ireland_Shadow.png,Ireland_Wordmark.png,National
Poland,Poland,Poland,POL,#CB0000,#000000,#A3A3A3,Poland.png,Poland_Shadow.png,Poland_Wordmark.png,National
China,China,China,CHN,#DA332B,#FCE457,#000000,China.png,China_Shadow.png,China_Wordmark.png,National
"Hong Kong, China","Hong Kong, China","Hong Kong, China",HKC,#EF262B,#FFFFFF,#000000,Hong Kong.png,Hong Kong_Shadow.png,Hong Kong_Wordmark.png,National
Australia,Australia,Australia,AUS,#0B4A3A,#F5B554,#000000,Australia.png,Australia_Shadow.png,Australia_Wordmark.png,National
Finland,Finland,Finland,FIN,#023E7F,#CACBCD,#000000,Finland.png,Finland_Shadow.png,Finland_Wordmark.png,National
United States,United States,United States,USA,#002366,#CF0E34,#A1A3A5,United States.png,United States_Shadow.png,United States_Wordmark.png,National
Netherlands,Netherlands,Netherlands,NED,#FBBB2A,#DA403A,#4C9AD8,Netherlands.png,Netherlands_Shadow.png,Netherlands_Wordmark.png,National
Haudenosaunee,Haudenosaunee,Haudenosaunee,HAU,#48398C,#FDC50F,#000000,Haudenosaunee.png,Haudenosaunee_Shadow.png,Haudenosaunee_Wordmark.png,National
Canada,Canada,Canada,CAN,#F30000,#000000,#A3A3A3,Canada.png,Canada_Shadow.png,Canada_Wordmark.png,National
Israel,Israel,Israel,ISR,#0067C1,#000000,#A3A3A3,Israel.png,Israel_Shadow.png,Israel_Wordmark.png,National
Czechia,Czechia,Czechia,CZE,#CF0E34,#002366,#000000,Czechia.png,Czechia_Shadow.png,Czechia_Wordmark.png,National
Scotland,Scotland,Scotland,SCO,#284D9A,#CACBCD,#000000,Scotland.png,Scotland_Shadow.png,Scotland_Wordmark.png,National
Japan,Japan,Japan,JPN,#CB0000,#000000,#A3A3A3,Japan.png,Japan_Shadow.png,Japan_Wordmark.png,National
Berlin Bears,Berlin Bears,Berlin Bears,BER,#FE0000,#717171,#000000,BerlinBears.png,BerlinBears_Shadow.png,BerlinBears_Wordmark.png,Club
LCC Wolves,LCC Wolves,LCC Wolves,WOL,#FE0000,#717171,#000000,LCCWolves.png,LCCWolves_Shadow.png,LCCWolves_Wordmark.png,Club
St Catharines,St Catharines,St Catharines,STC,#98CAEA,#717171,#000000,StCatherines.png,StCatherines.png,StCatherines.png,Club
Orangeville,Orangeville,Orangeville,ORG,#FE0000,#717171,#000000,Orangeville.png,Orangeville.png,Orangeville.png,Club